,Tweets
0,"RT @vanlith_gl: Pesanku untuk pengusaha sablon, jelang 2024 pokoknya jangan mau mengerjakan order kaos kampanye dan sebagainya tanpa kejela…"
1,RT @pinot: someeetimesas you'rre lucky if almigjhty d0esn't disconnect your nnnerves. be ggraateful. https://t.co/LnKgokNmBl
2,Angkatan CCS / wiro paham nih... https://t.co/AKwyAuysUo
3,Toksik bener bocah busetttttt https://t.co/b5njNjTgqb
4,Akun2 provokator yang lagi manasin mesin 2024 ini ga perlu ditanggepin lah. Malah dapet awareness.
5,@acotenri @EnzyStoria MAU
6,🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡 https://t.co/U2PfokbeOA
7,Sedih beneran disangka nyindir. Elu aje yg sensi. 😂 https://t.co/jo2OFTYcU3
8,"Walau gw fans Spurs, gw harus akui, trisula lini depan Arsenal Saka-Jesus-Martinelli ini kerennya minta ampun. 🫡"
9,Desember ini kita ketawa-ketawa di Bali yuk! ❤️ https://t.co/7qiaw09nfR
10,RT @aimi_asi: Mantap Kak @nggirma ❤️
11,"RT @evimsofian: Idola banget. Farel keren. ""Agamamu apa? Privasi."" 

Tolong ini dinormalisasi. https://t.co/WEIWVeKO2n"
12,"RT @rezasnegara: Coba kamu liat wajah ibumu ketika lagi tidur, dialah yang dulu ngelahirin dan ngurusin kamu dari kecil, datangi belio geng…"
13,"Yaudah gapapa kalo ternyata cepmek itu artinya cepak mekar, tapi bacanya yang bener dong cepmek jangan cepmek gitu… https://t.co/p7rxXMFxaX"
14,"Ngalahin Haaland mah gampang, rendem aja di aer nanti juga korslet chip-nya."
15,"Andai Manchester City nggak beli cyborg buat jadi mesin gol, bisa-bisa Arsenal juara liga ini mah."
16,"RT @ditut: siapapun yg lg putus harapan,biarlah foto ini jd pengingat utk never give up hope &amp; suka cita.Bahkan dlm kondisi yg menurut org…"
17,"RT @matt_gray_: YouTube is free education.

But 98% don't know the best professors on its virtual campus. 

Here are the top 10 channels to…"
18,Waduh 😂 https://t.co/0AyiqgTZYn
19,Udah sembuh ini mahhh 😂😂😂😂😂😂😂😂😂 https://t.co/hyDSlyKVfb
20,@bicaraboxoffice Kuda hitam yg mengejutkan
21,Lebih ke epilepsi ga sih? https://t.co/K7X57gWQoz
22,Setting bahasa di henponnya langsung auto british. 👍 https://t.co/Ro8RCesk02
23,@DianOnno The ultimate cringe
24,@ryorhamono Waaahhhhhh 💪💪💪💪💪💪
25,@bicaraboxoffice Gokssss
26,Mauliate godang ❤️ https://t.co/w7nr2YzCHv
27,RT @NetflixID: Apa yang biasanya suka emak kalian bungkusin begini ges? https://t.co/cciIHOuQDc
28,"RT @jakpost: Using the Kita Bisa online crowdfunding platform, Indonesia's BTS 'ARMY' raised more than Rp 447 million (US$29,316) in just o…"
29,RT @eshasw: Bali in the future https://t.co/WyMnTuyvto
30,RT @moulysurya: Akhirnya bisa nonton “Ngeri-Ngeri Sedap” di @NetflixID Kayaknya ini film Indonesia pertama yang bikin gue nangis setelah Ad…
31,Terlalu banyak kabar buruk. 😢
32,"Klo hotel, gw sih mending rekomen https://t.co/CyD89ayubj aja lah udah. Agoda kusut. https://t.co/Any5TSIhGk"
33,"@miund @bene_dion @NetflixID Haha sanssss emg i didnt deserve credit. Cheers und, keep them lovely drawings coming! ❤️"
34,@miund @bene_dion @NetflixID Glad u enjoyed it 🙏❤️
35,"RT @NetflixID: Dua film Indonesia yang udah bisa ditonton di Netflix hari ini:

✅ Ngeri-Ngeri Sedap: tentang anak-anak yang akhirnya mudik,…"
36,RT @miund: Mohon tanggungjawabnya Abang @bene_dion sudah bikin mata saya bengkak gara2 nonton Ngeri-Ngeri Sedap di @NetflixID. Selamat atas…
37,"Yang belum sempat nonton di bioskop, silakan. Film perdana Imajinari karya @bene_dion yang akan mewakili Indonesia… https://t.co/PBQfiWliFk"
38,❤️❤️❤️❤️❤️❤️❤️❤️ https://t.co/VUX9aXWWwt
39,RT @adjisdoaibu: 🙏🏼🙏🏼🙏🏼 https://t.co/OIrhWlSicV
40,Polower awal yang amat bangga sama pencapaian BiBo! 🫡 https://t.co/uRynQt3h5y
41,"RT @FCBayernEN: Prior to kick-off, we observed a minute of silence in memory of the victims of the Kanjuruhan Stadium tragedy in Indonesia…"
42,"Meski pandeminya udah jadi endemi, tapi kebiasaan pejabat buat cuci tangan masih konsisten ya?"
43,@pinotski https://t.co/q48cW73NDU
44,"RT @AlissaWahid: Uluran kasih sayang teman2 semua sudah mulai kami hantarkan kepada keluarga korban #TragediKanjuruhan. 
Tidak akan bisa me…"
45,"Asli gw gatau samsek kalo PSI ikut2an deklarasi. Ngapain sih, kayak suaranya ngaruh aja. 😔"
46,"Buat yang bilang “Kenapa Nasdem diprotes PSI nggak”, gini guys jawabannya: GUA AJA BARU TAU DARI KALIAN KALO PSI DEKLARASI JUGA. 😔"
47,"Harapan gw cuma 1, semoga nggak ada lagi pemecah-belahan bangsa kayak di 2 pemilu terakhir. Stop narasi cebong/kamp… https://t.co/cKdNnTCBmY"
48,"Dengan resmi diumumkannya capres 2024, maka musim buzzer politik pun dimulai. It’s 2014 &amp; 2019 all over again. Brac… https://t.co/r0uAZiSmmO"
49,"RT @kumparan: Sejumlah pemain dan official Arema FC mendatangi Stadion Kanjuruhan di Malang, Senin (3/10). Kedatangan tersebut sebagai bent…"
50,"Semangat teman-teman, kami tetap menanti! ❤️ https://t.co/sXCED1O456"
51,😭😭😭😭😭😭😭😭😭 https://t.co/Cw58pksyhd
52,Cyborg. https://t.co/mXHJ4xqonx
53,@ivannmakhsara @diazdanar Gudlak 👏👏👏👏👏👏
54,"Gw ga masalah sih Nasdem mau dukung capres mana, bodo amat. Tapi apa iya deklarasinya gak bisa ditunda dikit? Kita… https://t.co/Q88R1CGTHw"
55,"RT @AlissaWahid: Tidak ada sepak bola senilai nyawa manusia...
Hati tersayat oleh tragedi Kanjuruhan.
Mari kita ulurkan tangan. GUSDURIAN p…"
56,RT @BudiSetyarso: Prasasti nama-nama korban. #KoranTempo https://t.co/nxzj23tpnQ
57,"RT @AhmadKawom: Setelah peretasan ada satu pesan ancaman kpd kru narasi :"" DIAM ATAU MATI ""

Bantu narasi sebarkan kebenaran dengan RTL cui…"
58,"“CASTING YUK!”, gitu? https://t.co/cjbio86kN5"
59,"RT @panditfootball: Aksi solidaritas dari Bobotoh di Taman Cikapayang, Bandung. https://t.co/2z1TrpUcb0"
60,"RT @AremaFC: Mohon izin meneruskan informasi dari kawan-kawan tenaga kesehatan RSUD Kanjuruhan. 

Apabila mengenali Aremania dan Aremanita…"
61,"Sedih banget malah liat temen-temen twitwar segala. Udahlah, fokus aja sama orang-orang yang memang bertanggungjawa… https://t.co/MXdTWfAXnG"
62,RT @Spurs_ID: Tottenham Hotspur ingin menyampaikan belasungkawa kepada semua korban dan keluarga atas tragedi yang terjadi di Stadion Kanju…
63,"RT @aqfiazfan: Kami sudah memulai investigasi tragedi di Kanjuruhan dan butuh banyak informasi foto/video pasca match, saat match atau sesa…"
64,"RT @FaktaSepakbola: 🚨BREAKING: Update per jam ini dari Dinkes Kabupaten Malang jumlah korban meninggal dunia 182 orang.

Korban mayoritas b…"
65,RT @corbuzier: Mantap!! Polisi loe Prank KDRT!! Suka gue... Besok TNI sekalian.. gue temenin !! Asuuuh. #baimwong https://t.co/Rf0tstgBWv
66,Good call. https://t.co/7dNcTs68zk
67,Dear God 😭😭😭😭😭😭😭😭 https://t.co/54MvfiTHTq
68,Terlalu mengerikan. Terlalu menyesakkan. Ya Tuhan. 😭
69,"RT @coldrebellion: Dua musibah stadion sepakbola yang paling banyak korban jiwa, Tragedi Lima (1964) dan Tragedi Accra (2001), sama-sama di…"
70,"RT @adepedia: Bencana sepak bola terbesar di dunia itu terjadi di Lima, Peru tahun 1964 menewaskan 328 jiwa. Tebak pencetusnya apa? Gas air…"
71,"Mohon maaf nih Pak Kapolda, tapi gas air mata di dalam stadion itu dilarang oleh FIFA. Mungkin alasannya ya supaya… https://t.co/5XFnm4kP7e"
72,"Pak @jokowi, menteri anda ini lho. https://t.co/kga3jXvRIm"
73,Speechless 😭😭😭😭😭 https://t.co/9gZfXPrits
74,Turut berduka atas tragedi di Kanjuruhan. 😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢
75,@bicaraboxoffice Like &amp; Share bro
76,"Musim lalu Arteta &amp; “Trust the process” jadi bahan olok-olok massal. Sekarang hasilnya keren banget, rispek."
77,"Kartu merah dong. Yaudah, tutup aja aplikasi Vidionya 😂😂😂😂😂😂😂😂😂😂😂😂😂"
78,@annanneass U too? Bloody hell
79,"Arsenal sangar banget maennya. Bisa ini mah finish di top 2 kalo gak direcok cedera. Arteta udah lebih lama berproses, Conte butuh waktu."
80,LLORIS MABOK CIUUUUUU 😔 2-1 Arsenal unggul lagiiiiii😂😂😂😂😂😂😂😂😂😂😂
81,@SBKCF Anjir mana gw nonton lagi
82,@SpursWebSeb Emerson not too shabby.
83,Abis 1-1 Arsenal kayak rada goyang nih. Menarique. 😂
84,1-1. Seru gila anjayyyyyy COYS https://t.co/uhUu9QHbxZ
85,Busettttttt Spurs kebobolan rudal.. gila banget Partey 🫡🫡🫡🫡🫡
86,HEY https://t.co/ZRN26Mm1dl
87,Kenapa bawa2 Rustu Recber sih 😂 https://t.co/d288ByDvPW
88,"Ketika menikah, saya &amp; istri tidak membuat perjanjian pembagian harta. Apa yang mau dibagi hartanya aja kaga ada. 😂"
89,"RT @miund: Good thread. Banyak cari info, calon ibu, cari dokter dan RS yang pro ASI juga ya. Menyusuilah dengan keras kepala ✨"
90,"@Chrisgcomedy Nasi isnt deep fried, get ur facts right! #twitterbullyingtrainingcourse"
91,BOS https://t.co/dlbi16esuO
92,Siapa kira-kira pejabat / capres pertama yang bakal bikin video pake backsound “Kadang bikin akuuuu kesa!” hayo?
93,"RT @AdjieSanPutro: Hurry society. Pernah baca istilah yang menggambarkan masyarakat serba tergesa.

Tergesa sukses. Tergesa naik jabatan. T…"
94,"RT @bintangbete: selebritis: pamer kemesraan, eh gataunya di belakang ribut-ribut &amp; akhirnya bercerai.

politisi: ribut-ribut, eh gataunya…"
95,WOY. https://t.co/huoQKf86XW
96,@Adriandhy Tante 😢😢😢😢😢😢😢
97,@pinot @garyvee @veefriends https://t.co/jGXKJnBxLY
98,Baru beberapa halaman tapi langsung jatuh cinta sama tulisannya @okkymadasari. Akan jadi perjalanan membaca yang me… https://t.co/P1nSlPucEs
99,RT @BiLLYKHAERUDIN: Sebulan lalu Menko PMK bilang 3 thn terakhir ada penurunan persentase bayi yang dapat ASI eksklusif. Pernyataan Menko P…
100,This Pinot recovery journey is just so awesome. 🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡🫡
101,😭😭😭😭😭😭😭😭😭😭😭 https://t.co/ifE2yzRfkK
102,RT @hariankompas: Tim #InvestigasiKompas menemukan fakta dugaan pelanggaran pemasaran susu formula bayi 0-6 bulan yang melibatkan agen pema…
103,"@sinekdoks @EAFIFADirect YES!!!! And fave/starred obj, too."
104,"RT @bicaraboxoffice: Hingga hari ini, penonton film Indonesia rilis tahun 2022 telah menembus angka 44 juta.
Dengan adanya beberapa film be…"
105,SICK! 😭😭😭😭😭 https://t.co/vtxq9KCFp9
106,Wih. Menu gw beda sih. https://t.co/7f0Fz76NOs https://t.co/JUQAzZvQwu
107,Marah ya marah aja gausah ngomong jorok dong?! https://t.co/BpemgK9VJt
108,Terimakasih penonton film Indonesia! ❤️ https://t.co/NRgKSeRiUF
109,"RT @jill_bobby: Pria umur 34 tahun pacaran dengan anak umur 14 tahun karena “Lebih mudah diatur. Mudah diedukasi, mudah diajarin.”

Maksudn…"
110,INI HOROR APA ACTION YA GILA KEREN AMATTT!!!!!! 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥 https://t.co/lGYzj8eRwM
111,@ariwidyaputra Gpp si klo semua begitu.. masalahnya banyak yg udah terima 🥲
112,@gigihadiguna Lancar2 maseeeeww
113,"@ariwidyaputra Udah, udah main rivals segala."
114,BCA adalah mantap ✨ https://t.co/4crBSrsWYK
115,"Yang PO FIFA23 Ultimate Edition, FIFA Points nya pada masuk ga? Kok di gw ga muncul ya?"
